target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
145,80,False,,,,,,,,,,,,,,,,,,,False
145,85,False,,,,,,,,,,,,,,,,,,,False
145,90,False,,,,,,,,,,,,,,,,,,,False
145,95,False,,,,,,,,,,,,,,,,,,,False
145,100,False,,,,,,,,,,,,,,,,,,,False
145,105,False,,,,,,,,,,,,,,,,,,,False
145,110,False,,,,,,,,,,,,,,,,,,,False
145,115,False,,,,,,,,,,,,,,,,,,,False
145,120,False,,,,,,,,,,,,,,,,,,,False
145,125,False,,,,,,,,,,,,,,,,,,,False
150,45,False,,,,,,,,,,,,,,,,,,,False
150,50,False,,,,,,,,,,,,,,,,,,,False
150,55,False,,,,,,,,,,,,,,,,,,,False
150,60,False,,,,,,,,,,,,,,,,,,,False
150,65,False,,,,,,,,,,,,,,,,,,,False
150,70,False,,,,,,,,,,,,,,,,,,,False
150,75,False,,,,,,,,,,,,,,,,,,,False
150,80,False,,,,,,,,,,,,,,,,,,,False
150,85,False,,,,,,,,,,,,,,,,,,,False
150,90,False,,,,,,,,,,,,,,,,,,,False
150,95,False,,,,,,,,,,,,,,,,,,,False
150,100,False,,,,,,,,,,,,,,,,,,,False
150,105,False,,,,,,,,,,,,,,,,,,,False
150,110,False,,,,,,,,,,,,,,,,,,,False
150,115,False,,,,,,,,,,,,,,,,,,,False
150,120,False,,,,,,,,,,,,,,,,,,,False
150,125,False,,,,,,,,,,,,,,,,,,,False
155,45,False,,,,,,,,,,,,,,,,,,,False
155,50,False,,,,,,,,,,,,,,,,,,,False
155,55,False,,,,,,,,,,,,,,,,,,,False
155,60,False,,,,,,,,,,,,,,,,,,,False
155,65,False,,,,,,,,,,,,,,,,,,,False
155,70,False,,,,,,,,,,,,,,,,,,,False
155,75,False,,,,,,,,,,,,,,,,,,,False
155,80,False,,,,,,,,,,,,,,,,,,,False
155,85,False,,,,,,,,,,,,,,,,,,,False
155,90,False,,,,,,,,,,,,,,,,,,,False
155,95,False,,,,,,,,,,,,,,,,,,,False
155,100,False,,,,,,,,,,,,,,,,,,,False
155,105,False,,,,,,,,,,,,,,,,,,,False
155,110,False,,,,,,,,,,,,,,,,,,,False
155,115,False,,,,,,,,,,,,,,,,,,,False
155,120,False,,,,,,,,,,,,,,,,,,,False
155,125,False,,,,,,,,,,,,,,,,,,,False
160,45,False,,,,,,,,,,,,,,,,,,,False
160,50,False,,,,,,,,,,,,,,,,,,,False
160,55,False,,,,,,,,,,,,,,,,,,,False
160,60,False,,,,,,,,,,,,,,,,,,,False
160,65,False,,,,,,,,,,,,,,,,,,,False
160,70,False,,,,,,,,,,,,,,,,,,,False
160,75,False,,,,,,,,,,,,,,,,,,,False
160,80,False,,,,,,,,,,,,,,,,,,,False
160,85,False,,,,,,,,,,,,,,,,,,,False
160,90,False,,,,,,,,,,,,,,,,,,,False
160,95,False,,,,,,,,,,,,,,,,,,,False
160,100,False,,,,,,,,,,,,,,,,,,,False
160,105,False,,,,,,,,,,,,,,,,,,,False
160,110,False,,,,,,,,,,,,,,,,,,,False
160,115,False,,,,,,,,,,,,,,,,,,,False
160,120,False,,,,,,,,,,,,,,,,,,,False
160,125,False,,,,,,,,,,,,,,,,,,,False
165,45,False,,,,,,,,,,,,,,,,,,,False
165,50,False,,,,,,,,,,,,,,,,,,,False
165,55,False,,,,,,,,,,,,,,,,,,,False
165,60,False,,,,,,,,,,,,,,,,,,,False
165,65,False,,,,,,,,,,,,,,,,,,,False
165,70,False,,,,,,,,,,,,,,,,,,,False
165,75,False,,,,,,,,,,,,,,,,,,,False
165,80,False,,,,,,,,,,,,,,,,,,,False
165,85,False,,,,,,,,,,,,,,,,,,,False
165,90,False,,,,,,,,,,,,,,,,,,,False
165,95,False,,,,,,,,,,,,,,,,,,,False
165,100,False,,,,,,,,,,,,,,,,,,,False
